"Substitute","Wang (1997)","Wang (2009)","Hsiang (2016)","Huang (2024)","Rem."
"石會","","10","","",""
"愛慕","1","","","",""
"愛人","1","","","",""
"保","5","","","",""
"常","17","","","",""
"李","102","","","",""
"寧","131","","","",""
"柔","154","","","",""
"水","173","","","",""
"順","174","","","",""
"興","214","","","",""
"宜","231","","","",""
"義","233","","","",""
"虞","241","","","",""
"鎮","261","","","",""
"會","75","","","",""
"寧","131","","","",""
"李抱玉","102","","","",""
"興唐","215","","","",""
"義昌","233","","","",""
"保城","5","","","",""
"嶺方","110","","","",""
"保定","5","","","",""
"宜定","231","","","",""
"安享","2","","","",""
"寧海","131","","","",""
"順化","174","","","",""
"保京","5","","","",""
"保靜","5","","","",""
"漢陰","65","","","",""
"常樂","18","","","",""
"安康","1","","","",""
"安人","1","","","",""
"安人","1","","","",""
"安人","1","","","",""
"安仁","1","","","",""
"鎮南","261","","","",""
"容山","154","","","",""
"安上理人","1","","","",""
"安上理人","1","","","",""
"光天門","60","","","",""
"安熹","2","","","",""
"永業","238","","","",""
"虞邑","241","","","",""
"住持","271","","","",""
"芒","120","","","",""
"芒車關","120","","","",""
"俊","93","","","",""
"巴西","3","","","",""
"皓","66","","","",""
"皓","66","","","",""
"白額獸","3","","","",""
"白武","3","","","",""
"騶虞","275","","","",""
"白獸殿","3","","","",""
"天鹿幡","183","","","",""
"白獸幡","3","","","",""
"白獸闕","3","","","",""
"白獸闥","3","","","",""
"白武通","3","","","",""
"白虎通","3","","","",""
"白馬通","3","","","",""
"白武","3","","","",""
"白彥敬","3","","","",""
"百代","4","","","",""
"斑獸","4","","","",""
"辦嚴","4","","","",""
"本","7","","","",""
"封","49","","","",""
"域","243","","","",""
"國","62","","","",""
"民","124","","","",""
"域國","243","","","",""
"封畿","49","","","",""
"國家","62","","","",""
"國君","63","","","",""
"封內","49","","","",""
"封外","49","","","",""
"國選","63","","","",""
"褒內","5","","","",""
"守","168","","","",""
"保寧","5","","","",""
"守宮","169","","","",""
"保平","5","","","",""
"東莞","41","","","",""
"康定","95","","","",""
"暴武","6","","","",""
"鮑由","5","","","",""
"鮑僧叡","5","","","",""
"鮑昭","5","","","",""
"悲泉","6","","","",""
"契丹","141","","","",""
"北方","6","","","",""
"北地","6","","","",""
"北境","6","","","",""
"河東","67","","","",""
"契丹","141","","","",""
"北兵","6","","","",""
"北方","6","","","",""
"北虜","6","","","",""
"契丹","141","","","",""
"北軍侵境","6","","","",""
"北敵","6","","","",""
"本元","7","","","",""
"筌硯承舉","7","","","",""
"畢士安","8","","","",""
"避代","8","","","",""
"弁嚴子","9","","","",""
"卞莊剩彪","9","","","",""
"辨嚴","9","","","",""
"更","55","","","",""
"汴","9","","","",""
"邠","9","","","",""
"邠州","9","","","",""
"斑","4","","","",""
"斑","196","","","",""
"兵法捷要","10","","","",""
"秉","10","","","",""
"邴","10","","","",""
"景","88","","","",""
"景部","88","","","",""
"李粲","102","","","",""
"景辰","88","","","",""
"景丁","88","","","",""
"景","88","","","",""
"景吉","88","","","",""
"景科","88","","","",""
"景申","88","","","",""
"景午","88","","","",""
"景夜","89","","","",""
"景寅","89","","","",""
"景子","89","","","",""
"景","88","","","",""
"李","102","","","",""
"景元真","89","","","",""
"景","88","","","",""
"康","95","","","",""
"執","265","","","",""
"執禮弘律","265","","","",""
"明","124","","","",""
"明","124","","","",""
"秉","10","","","",""
"景","88","","","",""
"資","273","","","",""
"景煥","88","","","",""
"秉燭","10","","","",""
"脱衣","188","","","",""
"伯武","11","","","",""
"伯深","11","","","",""
"伯起","11","","","",""
"伯禹","11","","","",""
"博興","11","","","",""
"博諷","11","","","",""
"不測之深","11","","","",""
"不人獸穴，不得獸子","12","","","",""
"不代","11","","","",""
"動俗","41","","","",""
"不康","12","","","",""
"不裕","12","","","",""
"總管","275","","","",""
"蔡道深","14","","","",""
"蔡純臣","14","","","",""
"蔡准","14","","","",""
"羹菜","55","","","",""
"參理","14","","","",""
"操","15","","","",""
"摻","14","","","",""
"度","42","","","",""
"歌","54","","","",""
"散","157","","","",""
"捉","273","","","",""
"摻","158","","","",""
"捉臂","273","","","",""
"捉筆","273","","","",""
"捉刀","273","","","",""
"捉棓","273","","","",""
"捉手","273","","","",""
"曹仲達","15","","","",""
"曹武","15","","","",""
"曹寔","15","","","",""
"曹英","15","","","",""
"曹恭順","15","","","",""
"曹壽","15","","","",""
"慘","14","","","",""
"計","79","","","",""
"詔","258","","","",""
"岑泉","15","","","",""
"永","237","","","",""
"永添養","238","","","",""
"層邱","16","","","",""
"監","80","","","",""
"柴守願","16","","","",""
"柴熙
參","16","","","",""
"參","14","","","",""
"澶水","16","","","",""
"吉","77","","","",""
"吉水","78","","","",""
"回","75","","","",""
"長樂坡","17","","","",""
"城","22","","","",""
"崇","25","","","",""
"感","53","","","",""
"句","91","","","",""
"萊","99","","","",""
"南","128","","","",""
"平","136","","","",""
"盛","165","","","",""
"鄉","209","","","",""
"興","214","","","",""
"彰","254","","","",""
"昭","257","","","",""
"菖","16","","","",""
"瑲","144","","","",""
"平江","137","","","",""
"南樂","128","","","",""
"昌明","16","","","",""
"彰明","254","","","",""
"鄉寧","209","","","",""
"萊陽","99","","","",""
"修","216","","","",""
"脩","216","","","",""
"永","237","","","",""
"藏","15","","","",""
"常","17","","","",""
"常安","17","","","",""
"長興","17","","","",""
"修短","216","","","",""
"膠水","83","","","",""
"脩久","216","","","",""
"常盧澤","18","","","",""
"長人","17","","","",""
"永寧","238","","","",""
"脩蛇","217","","","",""
"荊蛇","87","","","",""
"長孫幼","256","","","",""
"長深","17","","","",""
"長水","17","","","",""
"嘗","20","","","",""
"常損","19","","","",""
"嘗熱","20","","","",""
"常滿倉","18","","","",""
"嘗州","20","","","",""
"藏","252","","","",""
"動","41","","","",""
"動過家","41","","","",""
"潮","20","","","",""
"武陽","202","","","",""
"車服意","20","","","",""
"車通","20","","","",""
"軼","20","","","",""
"列","108","","","",""
"通","186","","","",""
"達","32","","","",""
"列侯","108","","","",""
"通侯","186","","","",""
"文","4","","","",""
"敦","44","","","",""
"文","196","","","",""
"敦化","44","","","",""
"桂陽","62","","","",""
"敦州","44","","","",""
"真州","260","","","",""
"下","206","","","",""
"臣綦","21","","","",""
"龍","113","","","",""
"尤","239","","","",""
"尤溪","239","","","",""
"沉倫","163","","","",""
"沉泉","22","","","",""
"沉深","163","","","",""
"沉深子","163","","","",""
"田","184","","","",""
"宛","189","","","",""
